Overall Qual,Garage Area,1st Flr SF,Year Built,Full Bath,Year Remod/Add,Garage Yr Blt,Mas Vnr Area,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,Lot Frontage,Wood Deck SF,Open Porch SF,Bsmt Full Bath,2nd Flr SF,Lot Area,Bsmt Unf SF,Bedroom AbvGr,Screen Porch,Overall Cond,MS SubClass,Mo Sold,Yr Sold,SalePrice
0.0,0.1875,1.1218074656188606,-0.2826086956521739,-1.0,-0.8461538461538461,-0.48717948717948717,0.6871165644171779,0.5,1.0,0.36474991493705344,4.055555555555555,1.25,0.5,1.0,0.0,5.43495464783588,-0.040378006872852236,0.0,0.0,0.0,-0.6,-0.25,1.0,215000
-0.5,0.9765625,-0.3713163064833006,-0.2608695652173913,-1.0,-0.8205128205128205,-0.46153846153846156,0.0,-0.5,-1.0,0.13201769309288874,0.6666666666666666,0.8333333333333334,-0.38571428571428573,0.0,0.0,0.5288853716442442,-0.33419243986254293,-1.0,120.0,1.0,-0.6,0.0,1.0,105000
0.0,-0.65625,0.4793713163064833,-0.32608695652173914,-1.0,-0.8974358974358975,-0.5384615384615384,0.6625766871165644,0.0,-1.0,0.751275944198707,0.7222222222222222,2.3392857142857144,0.12857142857142856,0.0,0.0,1.1729469775369818,-0.10051546391752578,0.0,0.0,1.0,-0.6,0.0,1.0,172000
0.5,0.1640625,2.013752455795678,-0.10869565217391304,0.0,-0.6410256410256411,-0.28205128205128205,0.0,1.0,1.0,0.9445389588295339,1.3888888888888888,0.0,-0.38571428571428573,1.0,0.0,0.4163876544712973,0.9974226804123711,0.0,0.0,0.0,-0.6,-0.5,1.0,244000
-0.5,0.0078125,-0.30844793713163066,0.5217391304347826,0.0,0.1282051282051282,0.46153846153846156,0.0,0.0,0.0,0.5716230010207554,0.3333333333333333,1.2619047619047619,0.1,0.0,0.9971550497866287,1.0665367991720947,-0.5627147766323024,0.0,0.0,0.0,0.2,-0.75,1.0,189900
0.0,-0.0390625,-0.31237721021611004,0.5434782608695652,0.0,0.1282051282051282,0.48717948717948717,0.12269938650306748,0.5,0.0,0.31439265056141547,0.5555555555555556,2.142857142857143,0.12857142857142856,0.0,0.9644381223328592,0.12856881962622513,-0.24140893470790378,0.0,0.0,1.0,0.2,0.0,1.0,195500
1.0,0.3984375,0.49705304518664045,0.6086956521739131,0.0,0.20512820512820512,0.5641025641025641,0.0,0.0,-1.0,0.3334467505954406,-1.5,0.0,-0.38571428571428573,1.0,0.0,-1.103062032020454,0.4424398625429553,-1.0,0.0,0.0,1.4,-0.5,1.0,213500
1.0,0.1015625,0.3831041257367387,0.41304347826086957,0.0,-0.02564102564102564,0.3333333333333333,0.0,-0.5,-1.0,-0.14698877169105137,-1.3888888888888888,0.0,0.7857142857142857,0.0,0.0,-1.0823644000730506,0.9493127147766323,-1.0,144.0,0.0,1.4,-1.25,1.0,191500
1.0,0.5,1.043222003929273,0.4782608695652174,0.0,0.07692307692307693,0.41025641025641024,0.0,-0.5,0.0,1.1010547805375979,-1.6111111111111112,1.4107142857142858,1.7857142857142858,1.0,0.0,-0.9888598039812504,-0.08505154639175258,-1.0,0.0,0.0,1.4,-0.75,1.0,236500
0.5,-0.1484375,-0.11198428290766209,0.5652173913043478,0.0,0.15384615384615385,0.5128205128205128,0.0,0.5,0.0,-0.5049336509016672,-0.4444444444444444,0.8333333333333334,0.4714285714285714,0.0,1.1038406827880511,-0.47482802702867233,0.9097938144329897,0.0,0.0,0.0,0.2,0.0,1.0,189000
0.0,-0.15625,-0.6326129666011788,0.43478260869565216,0.0,0.02564102564102564,0.358974358974359,0.0,0.5,0.0,-0.5049336509016672,0.3888888888888889,0.9345238095238095,0.8142857142857143,0.0,1.2688477951635846,0.13392585377731783,0.5128865979381443,0.0,0.0,0.0,0.2,-0.5,1.0,175900
0.0,-0.234375,0.20039292730844793,0.41304347826086957,0.0,0.358974358974359,0.3333333333333333,0.0,0.0,-1.0,0.7676080299421572,0.0,2.875,-0.08571428571428572,1.0,0.0,-0.3579472819139222,-0.39776632302405496,0.0,0.0,2.0,-0.6,-0.75,1.0,185000
0.0,-0.33984375,-0.581532416502947,0.5434782608695652,0.0,0.1282051282051282,0.48717948717948717,0.0,0.5,0.0,-0.5049336509016672,-0.2777777777777778,0.0,0.6857142857142857,0.0,0.9615931721194879,-0.2551896268338711,0.5575601374570447,0.0,0.0,0.0,0.2,-0.25,1.0,180400
