MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Screen Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
20,RL,141.0,31770,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,441.0,GasA,Fa,Y,SBrkr,1656,0,1.0,1,3,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,528.0,TA,TA,P,210,62,0,5,2010,WD ,Normal,215000
20,RH,80.0,11622,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,270.0,GasA,TA,Y,SBrkr,896,0,0.0,1,2,TA,5,Typ,0,Missing,Attchd,1961.0,Unf,730.0,TA,TA,Y,140,0,120,6,2010,WD ,Normal,105000
20,RL,81.0,14267,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,406.0,GasA,TA,Y,SBrkr,1329,0,0.0,1,3,Gd,6,Typ,0,Missing,Attchd,1958.0,Unf,312.0,TA,TA,Y,393,36,0,6,2010,WD ,Normal,172000
20,RL,93.0,11160,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,Missing,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,1045.0,GasA,Ex,Y,SBrkr,2110,0,1.0,2,3,Ex,8,Typ,2,TA,Attchd,1968.0,Fin,522.0,TA,TA,Y,0,0,0,4,2010,WD ,Normal,244000
60,RL,74.0,13830,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,137.0,GasA,Gd,Y,SBrkr,928,701,0.0,2,3,TA,6,Typ,1,TA,Attchd,1997.0,Fin,482.0,TA,TA,Y,212,34,0,3,2010,WD ,Normal,189900
60,RL,78.0,9978,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,324.0,GasA,Ex,Y,SBrkr,926,678,0.0,2,3,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,470.0,TA,TA,Y,360,36,0,6,2010,WD ,Normal,195500
120,RL,41.0,4920,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,Missing,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616.0,Unf,722.0,GasA,Ex,Y,SBrkr,1338,0,1.0,2,2,Gd,6,Typ,0,Missing,Attchd,2001.0,Fin,582.0,TA,TA,Y,0,0,0,4,2010,WD ,Normal,213500
120,RL,43.0,5005,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,1017.0,GasA,Ex,Y,SBrkr,1280,0,0.0,2,2,Gd,5,Typ,0,Missing,Attchd,1992.0,RFn,506.0,TA,TA,Y,0,82,144,1,2010,WD ,Normal,191500
120,RL,39.0,5389,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,415.0,GasA,Ex,Y,SBrkr,1616,0,1.0,2,2,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,608.0,TA,TA,Y,237,152,0,3,2010,WD ,Normal,236500
60,RL,60.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,994.0,GasA,Gd,Y,SBrkr,1028,776,0.0,2,3,Gd,7,Typ,1,TA,Attchd,1999.0,Fin,442.0,TA,TA,Y,140,60,0,6,2010,WD ,Normal,189000
60,RL,75.0,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,763.0,GasA,Gd,Y,SBrkr,763,892,0.0,2,3,TA,7,Typ,1,TA,Attchd,1993.0,Fin,440.0,TA,TA,Y,157,84,0,4,2010,WD ,Normal,175900
20,RL,68.0,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,233.0,GasA,Ex,Y,SBrkr,1187,0,1.0,2,3,TA,6,Typ,0,Missing,Attchd,1992.0,Fin,420.0,TA,TA,Y,483,21,0,3,2010,WD ,Normal,185000
60,RL,63.0,8402,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,789.0,GasA,Gd,Y,SBrkr,789,676,0.0,2,3,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,393.0,TA,TA,Y,0,75,0,5,2010,WD ,Normal,180400
20,RL,85.0,10176,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,663.0,GasA,Gd,Y,SBrkr,1341,0,1.0,1,2,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,506.0,TA,TA,Y,192,0,0,2,2010,WD ,Normal,171500
120,RL,68.0,6820,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,0.0,GasA,TA,Y,SBrkr,1502,0,1.0,1,1,Gd,4,Typ,0,Missing,Attchd,1985.0,RFn,528.0,TA,TA,Y,0,54,140,6,2010,WD ,Normal,212000
60,RL,47.0,53504,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,234.0,GasA,Ex,Y,SBrkr,1690,1589,1.0,3,4,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,841.0,TA,TA,Y,503,36,210,6,2010,WD ,Normal,538000
50,RL,152.0,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,Missing,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,132.0,GasA,Gd,Y,SBrkr,1080,672,0.0,2,4,TA,8,Typ,0,Missing,Basment,1988.0,RFn,492.0,TA,TA,Y,325,12,0,6,2010,WD ,Normal,164000
20,RL,88.0,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,411.0,GasA,Ex,Y,SBrkr,1856,0,1.0,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,834.0,TA,TA,Y,113,0,0,6,2010,New,Partial,394432
20,RL,140.0,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,744.0,GasA,Ex,Y,SBrkr,864,0,0.0,1,2,TA,4,Typ,0,Missing,Detchd,1951.0,Unf,400.0,TA,TA,Y,0,0,0,6,2010,WD ,Normal,141000
20,RL,85.0,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,589.0,GasA,TA,Y,SBrkr,2073,0,1.0,2,3,TA,7,Min1,2,TA,Attchd,1978.0,Unf,500.0,TA,TA,Y,349,0,0,2,2010,WD ,Normal,210000
20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1139.0,GasA,Ex,Y,SBrkr,1844,0,0.0,2,3,TA,7,Typ,1,TA,Attchd,1977.0,RFn,546.0,TA,TA,Y,0,122,0,1,2010,COD,Normal,190000
85,RL,85.0,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,0.0,GasA,TA,Y,SBrkr,1173,0,1.0,2,3,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,528.0,TA,TA,Y,0,120,0,1,2010,WD ,Family,170000
60,FV,68.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,281.0,GasA,Ex,Y,SBrkr,814,860,1.0,2,3,Gd,7,Typ,0,Missing,Attchd,2000.0,RFn,663.0,TA,TA,Y,0,96,0,1,2010,WD ,Normal,216000
20,RL,68.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,426.0,GasA,Ex,Y,SBrkr,1004,0,1.0,1,2,TA,5,Typ,1,TA,Attchd,1970.0,Fin,480.0,TA,TA,Y,0,0,0,3,2010,WD ,Normal,149000
20,RL,68.0,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,344.0,GasA,Ex,Y,SBrkr,1078,0,1.0,1,3,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,500.0,TA,TA,Y,0,0,0,4,2010,WD ,Normal,149900
20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,281.0,GasA,Ex,Y,SBrkr,1056,0,1.0,1,3,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,304.0,TA,TA,Y,0,85,0,7,2010,WD ,Normal,142000
20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,Missing,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,0.0,GasA,TA,Y,SBrkr,882,0,1.0,1,2,TA,4,Typ,0,Missing,Attchd,1970.0,Fin,525.0,TA,TA,Y,240,0,0,4,2010,WD ,Normal,126000
20,RL,70.0,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,Missing,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,432.0,GasA,TA,Y,SBrkr,864,0,0.0,1,3,TA,5,Typ,1,Po,Missing,1979.0,Missing,0.0,Missing,Missing,Y,0,0,0,4,2010,ConLI,Normal,115000
120,RH,26.0,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,354.0,GasA,Ex,Y,SBrkr,1337,0,1.0,2,2,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,511.0,TA,TA,Y,203,68,0,6,2010,WD ,Normal,184000
160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,327.0,GasA,TA,Y,SBrkr,483,504,0.0,1,2,TA,5,Typ,0,Missing,Detchd,1971.0,Unf,264.0,TA,TA,Y,275,0,0,2,2010,COD,Normal,96000
160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,225.0,GasA,TA,Y,SBrkr,525,567,0.0,1,3,TA,6,Typ,0,Missing,Detchd,1997.0,Unf,320.0,TA,TA,Y,0,0,0,3,2010,WD ,Normal,105500
160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,525.0,GasA,TA,Y,SBrkr,525,567,0.0,1,3,TA,6,Typ,0,Missing,Detchd,1971.0,Unf,264.0,TA,TA,Y,0,0,0,3,2010,WD ,Family,88000
120,RL,53.0,4043,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,Missing,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,709.0,GasA,TA,Y,SBrkr,1069,0,0.0,2,2,TA,4,Typ,1,Fa,Attchd,1977.0,RFn,440.0,TA,TA,Y,0,55,165,7,2010,WD ,Normal,127500
160,RL,24.0,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,Missing,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,341.0,GasA,TA,Y,SBrkr,855,601,0.0,2,3,Gd,6,Typ,1,TA,Attchd,1975.0,Unf,440.0,TA,TA,Y,173,0,0,6,2010,WD ,Normal,149900
120,RL,24.0,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,Missing,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,836.0,GasA,Ex,Y,SBrkr,836,0,0.0,1,2,TA,4,Typ,0,Missing,Attchd,1975.0,Unf,308.0,TA,TA,Y,0,30,0,6,2010,WD ,Normal,120000
160,RL,24.0,2280,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,Missing,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,544.0,GasA,Fa,Y,SBrkr,855,601,0.0,2,3,TA,7,Typ,1,TA,Attchd,1978.0,Unf,440.0,TA,TA,Y,26,0,0,7,2010,WD ,Normal,146000
60,RL,102.0,12858,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,1590.0,GasA,Ex,Y,SBrkr,1627,707,0.0,2,3,Ex,10,Typ,1,Gd,Attchd,2009.0,Fin,751.0,TA,TA,Y,144,133,0,1,2010,New,Partial,376162
20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,486.0,GasA,Ex,Y,SBrkr,1704,0,1.0,2,3,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,772.0,TA,TA,Y,0,50,0,5,2010,WD ,Normal,306000
20,RL,83.0,10159,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1646.0,Unf,284.0,GasA,Ex,Y,SBrkr,1940,0,1.0,2,3,Ex,8,Typ,1,Gd,Attchd,2010.0,Fin,606.0,TA,TA,Y,168,95,0,4,2010,New,Partial,395192
20,RL,94.0,12883,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1544.0,GasA,Ex,Y,SBrkr,1544,0,0.0,2,3,Gd,7,Typ,0,Missing,Attchd,2009.0,RFn,868.0,TA,TA,Y,0,35,0,6,2010,New,Partial,290941
20,RL,95.0,12182,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201.0,Unf,340.0,GasA,Ex,Y,SBrkr,1541,0,0.0,2,3,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,532.0,TA,TA,Y,0,70,0,5,2010,New,Partial,220000
20,RL,90.0,11520,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,1588.0,GasA,Ex,Y,SBrkr,1698,0,0.0,2,3,Ex,7,Typ,1,Gd,Attchd,2005.0,Fin,730.0,TA,TA,Y,192,74,0,6,2010,WD ,Normal,275000
20,RL,79.0,14122,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,1794.0,GasA,Ex,Y,SBrkr,1822,0,0.0,2,3,Ex,8,Typ,1,Gd,Attchd,2005.0,RFn,678.0,TA,TA,Y,0,119,0,2,2010,WD ,Normal,259000
20,RL,70.0,10171,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,2.0,Unf,1515.0,GasA,Ex,Y,SBrkr,1535,0,0.0,2,3,Gd,7,Typ,0,Missing,Attchd,2004.0,RFn,532.0,TA,TA,Y,0,0,0,3,2010,WD ,Normal,214000
20,RL,100.0,12919,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188.0,Unf,142.0,GasA,Ex,Y,SBrkr,2364,0,1.0,2,2,Ex,11,Typ,2,Gd,Attchd,2009.0,Fin,820.0,TA,TA,Y,0,67,0,3,2010,New,Partial,611657
120,RL,44.0,6371,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,733.0,Unf,625.0,GasA,Ex,Y,SBrkr,1358,0,1.0,2,2,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,484.0,TA,TA,Y,192,35,0,6,2010,New,Partial,224000
20,RL,110.0,14300,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,1473.0,GasA,Ex,Y,SBrkr,2696,0,1.0,2,3,Ex,10,Typ,2,Gd,Attchd,2003.0,Fin,958.0,TA,TA,Y,220,150,0,6,2010,WD ,Normal,500000
60,RL,105.0,13650,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,1093.0,GasA,Ex,Y,SBrkr,1687,563,1.0,2,3,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,756.0,TA,TA,Y,238,130,0,6,2010,WD ,Normal,320000
120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,1296.0,GasA,Ex,Y,SBrkr,1752,0,1.0,2,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,576.0,TA,TA,Y,196,82,0,2,2010,WD ,Normal,319900
120,RL,41.0,7132,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,1346.0,GasA,Ex,Y,SBrkr,1370,0,0.0,2,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,484.0,TA,TA,Y,120,49,0,4,2010,WD ,Normal,205000
160,RL,36.0,2628,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764,862,0.0,2,2,Gd,6,Typ,0,Missing,BuiltIn,2003.0,RFn,474.0,TA,TA,Y,0,27,0,6,2010,WD ,Normal,175500
20,RL,100.0,18494,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1324.0,GasA,Ex,Y,SBrkr,1324,0,0.0,2,3,Gd,6,Typ,0,Missing,Attchd,2005.0,Fin,430.0,TA,TA,Y,36,23,0,1,2010,WD ,Normal,199500
120,RL,43.0,3203,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,1129.0,GasA,Ex,Y,SBrkr,1145,0,0.0,2,2,Gd,6,Typ,0,Missing,Attchd,2006.0,Fin,437.0,TA,TA,Y,100,116,0,1,2010,WD ,Normal,160000
120,RL,43.0,3182,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,1232.0,GasA,Ex,Y,SBrkr,1269,0,0.0,2,2,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,430.0,TA,TA,Y,146,20,144,4,2010,WD ,Normal,192000
80,RL,67.0,13300,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Missing,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,58.0,GasA,Ex,Y,SBrkr,744,630,1.0,2,3,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,400.0,TA,TA,Y,100,0,0,6,2010,WD ,Normal,184500
