Customer_ID,Invoice_ID,Document_Date,Due_Date,Clearing_Date,Amount,is_late
Customer_8078,INV101189,2023-09-03,2023-10-08,2023-10-14,2691.01,1
Customer_3245,INV101477,2023-01-13,2023-02-22,2023-02-25,4199.89,1
Customer_6255,INV101109,2023-09-20,2023-11-18,2023-11-26,7367.09,1
Customer_6261,INV100221,2023-12-03,2024-01-09,2024-01-18,9304.13,1
Customer_5833,INV100638,2023-06-10,2023-07-17,2023-08-08,6525.06,1
Customer_8239,INV100984,2023-06-07,2023-07-14,2023-07-27,8910.4,1
Customer_2165,INV100105,2023-04-04,2023-05-30,2023-05-25,5597.13,0
Customer_8881,INV100910,2023-11-14,2024-01-03,2024-01-02,9224.17,0
Customer_7537,INV101336,2023-10-20,2023-11-25,2023-11-27,3272.99,1
Customer_1393,INV100954,2023-11-23,2024-01-06,2024-01-09,6349.68,1
Customer_6081,INV101256,2023-05-30,2023-06-18,2023-06-16,8124.18,0
Customer_2820,INV100850,2023-04-21,2023-05-13,2023-06-05,1493.09,1
Customer_7376,INV100337,2023-08-13,2023-09-01,2023-09-21,7197.65,1
Customer_4395,INV100925,2023-02-24,2023-04-02,2023-04-29,6208.46,1
Customer_4504,INV100515,2023-03-05,2023-03-22,2023-04-13,6728.77,1
Customer_7282,INV100779,2023-11-04,2023-12-24,2023-12-20,2074.61,0
Customer_6070,INV100436,2023-01-31,2023-03-01,2023-03-04,7171.33,1
Customer_5505,INV100586,2023-03-14,2023-04-12,2023-04-19,7687.02,1
Customer_8664,INV101326,2023-03-12,2023-04-01,2023-04-01,7040.01,0
Customer_3434,INV100228,2023-02-28,2023-04-10,2023-04-26,7828.96,1
Customer_9753,INV100067,2023-03-06,2023-05-02,2023-05-09,6998.23,1
Customer_4734,INV100677,2023-02-17,2023-04-03,2023-04-14,5040.82,1
Customer_3231,INV100210,2023-02-16,2023-03-17,2023-03-19,9073.43,1
Customer_5403,INV100394,2023-04-22,2023-06-03,2023-06-26,2439.67,1
Customer_563,INV100882,2023-07-21,2023-08-29,2023-09-01,1202.43,1
Customer_1726,INV100922,2023-04-07,2023-05-24,2023-06-10,4744.46,1
Customer_2973,INV100761,2023-10-08,2023-11-15,2023-11-22,4572.39,1
Customer_6749,INV101430,2023-05-08,2023-06-28,2023-06-30,6434.63,1
Customer_2833,INV101207,2023-11-28,2024-01-26,2024-02-08,1409.18,1
Customer_6828,INV101342,2023-07-24,2023-08-28,2023-09-25,8760.73,1
Customer_7684,INV100531,2023-02-08,2023-03-25,2023-03-28,6703.59,1
Customer_353,INV101235,2023-02-08,2023-03-22,2023-03-20,4706.09,0
Customer_9972,INV100560,2023-08-03,2023-08-29,2023-09-25,1527.06,1
Customer_7383,INV100376,2023-02-11,2023-03-02,2023-03-23,5575.12,1
Customer_7772,INV100218,2023-11-01,2023-12-01,2023-12-21,4504.48,1
Customer_1558,INV100454,2023-11-16,2024-01-12,2024-01-23,3304.4,1
Customer_7146,INV100280,2023-12-12,2024-01-10,2024-01-18,4761.98,1
Customer_6004,INV100349,2023-11-08,2023-12-04,2023-12-02,1414.41,0
Customer_2417,INV100985,2023-06-21,2023-08-02,2023-08-01,8500.52,0
Customer_3021,INV101407,2023-10-01,2023-10-21,2023-10-24,6253.59,1
Customer_5627,INV100837,2023-01-01,2023-02-09,2023-02-21,5755.17,1
Customer_764,INV100100,2023-08-18,2023-09-16,2023-09-27,1940.26,1
Customer_6631,INV100873,2023-08-11,2023-10-04,2023-10-17,5125.39,1
Customer_8864,INV100415,2023-03-30,2023-05-07,2023-05-13,1584.09,1
Customer_3519,INV100795,2023-12-14,2024-01-11,2024-02-06,2095.9,1
Customer_532,INV100522,2023-09-25,2023-10-28,2023-11-13,8801.1,1
Customer_9920,INV100025,2023-02-25,2023-04-05,2023-04-15,2477.33,1
Customer_2344,INV100118,2023-01-27,2023-03-12,2023-04-08,7542.58,1
Customer_8158,INV100019,2023-11-02,2023-11-19,2023-11-14,7942.87,0
Customer_4908,INV100339,2023-03-10,2023-04-23,2023-05-08,7610.22,1
Customer_8672,INV100822,2023-03-17,2023-05-01,2023-05-13,9139.0,1
Customer_8447,INV100419,2023-03-28,2023-04-22,2023-04-30,2894.85,1
Customer_518,INV100207,2023-10-14,2023-11-13,2023-11-28,6949.0,1
Customer_647,INV100538,2023-02-15,2023-04-07,2023-04-15,9141.9,1
Customer_5559,INV100309,2023-05-22,2023-06-12,2023-07-05,3447.69,1
Customer_8708,INV100625,2023-05-27,2023-06-30,2023-07-19,7372.1,1
Customer_2922,INV100452,2023-03-21,2023-04-19,2023-05-01,1072.76,1
Customer_4879,INV100864,2023-08-23,2023-09-18,2023-09-28,3763.0,1
Customer_321,INV100030,2023-05-21,2023-07-04,2023-07-29,3857.91,1
Customer_1568,INV100667,2023-07-08,2023-09-03,2023-10-02,3398.47,1
Customer_4541,INV101098,2023-03-12,2023-04-19,2023-04-23,4285.03,1
Customer_2245,INV101052,2023-07-13,2023-08-18,2023-08-27,6201.55,1
Customer_6834,INV100385,2023-04-16,2023-05-03,2023-05-06,6945.83,1
Customer_8304,INV100512,2023-03-17,2023-04-08,2023-04-03,6344.18,0
Customer_6349,INV100886,2023-05-15,2023-06-14,2023-07-08,8523.86,1
Customer_4742,INV100003,2023-12-22,2024-01-06,2024-01-19,1275.45,1
Customer_1142,INV101201,2023-07-07,2023-09-03,2023-09-06,8599.29,1
Customer_5284,INV100664,2023-03-11,2023-04-22,2023-04-23,6224.67,1
Customer_8699,INV100548,2023-05-18,2023-06-20,2023-06-27,2047.6,1
Customer_3295,INV101499,2023-07-09,2023-08-30,2023-09-03,2913.62,1
Customer_6149,INV100338,2023-09-05,2023-10-27,2023-11-12,7674.95,1
Customer_3251,INV100754,2023-06-22,2023-08-13,2023-08-24,9540.42,1
Customer_2236,INV100987,2023-06-06,2023-07-02,2023-07-23,5127.95,1
Customer_8847,INV100029,2023-01-21,2023-03-13,2023-03-28,5335.8,1
Customer_8743,INV100557,2023-03-27,2023-05-22,2023-06-10,8222.07,1
Customer_8895,INV100418,2023-03-25,2023-05-23,2023-06-02,6602.37,1
Customer_6728,INV100894,2023-07-13,2023-09-08,2023-09-09,5737.59,1
Customer_4802,INV101080,2023-05-08,2023-06-15,2023-06-13,9991.82,0
Customer_1835,INV100903,2023-04-02,2023-04-24,2023-04-26,1489.3,1
Customer_1253,INV100384,2023-05-17,2023-06-02,2023-06-18,3303.86,1
Customer_8782,INV101445,2023-11-23,2023-12-29,2023-12-24,5315.77,0
Customer_1217,INV100773,2023-09-14,2023-10-11,2023-10-27,4030.06,1
Customer_9966,INV100507,2023-02-07,2023-02-23,2023-03-05,1306.4,1
Customer_5123,INV100596,2023-03-18,2023-05-13,2023-05-24,6369.77,1
Customer_8074,INV100266,2023-10-01,2023-11-24,2023-12-16,1279.55,1
Customer_747,INV101305,2023-10-01,2023-11-27,2023-12-07,3036.74,1
Customer_3399,INV100126,2023-10-29,2023-12-26,2023-12-23,9657.95,0
Customer_6289,INV100506,2023-06-09,2023-08-07,2023-08-22,4598.49,1
Customer_8260,INV100341,2023-03-08,2023-05-04,2023-05-28,2902.6,1
Customer_5028,INV101014,2023-01-29,2023-02-18,2023-02-24,7360.15,1
Customer_7205,INV100496,2023-05-26,2023-07-23,2023-07-24,4118.51,1
Customer_2498,INV100188,2023-06-07,2023-07-05,2023-07-17,3185.21,1
Customer_611,INV101483,2023-04-02,2023-05-02,2023-05-09,6446.28,1
Customer_5589,INV100036,2023-07-24,2023-09-12,2023-09-30,8765.1,1
Customer_14,INV100399,2023-10-30,2023-11-22,2023-12-10,7655.72,1
Customer_2458,INV100382,2023-04-25,2023-06-08,2023-06-26,4440.94,1
Customer_2260,INV100852,2023-09-13,2023-10-30,2023-11-07,9021.36,1
Customer_7444,INV100709,2023-03-07,2023-03-23,2023-04-16,3873.31,1
Customer_5908,INV100439,2023-12-10,2024-01-13,2024-01-09,4164.71,0
Customer_1180,INV100843,2023-04-15,2023-05-26,2023-06-13,3392.19,1
Customer_9767,INV101366,2023-09-09,2023-10-10,2023-10-26,8535.95,1
Customer_6039,INV100151,2023-02-12,2023-03-21,2023-03-16,5452.82,0
Customer_2542,INV101088,2023-05-11,2023-06-07,2023-06-27,6543.39,1
Customer_1175,INV100758,2023-07-17,2023-09-01,2023-09-03,1031.83,1
Customer_8264,INV100492,2023-06-27,2023-07-23,2023-07-25,3053.6,1
Customer_8138,INV100982,2023-08-24,2023-10-06,2023-10-28,8247.23,1
Customer_2478,INV101028,2023-10-24,2023-12-04,2023-12-04,3747.28,0
Customer_9019,INV101221,2023-01-16,2023-03-11,2023-04-04,8573.85,1
Customer_683,INV100943,2023-05-15,2023-06-23,2023-07-05,2512.82,1
Customer_2147,INV100293,2023-10-09,2023-10-30,2023-10-27,3800.5,0
Customer_8177,INV101059,2023-06-07,2023-07-12,2023-07-08,7808.01,0
Customer_3894,INV101398,2023-04-03,2023-05-23,2023-05-27,4810.03,1
Customer_1339,INV100918,2023-12-24,2024-02-07,2024-02-08,8957.32,1
Customer_311,INV100209,2023-05-06,2023-05-27,2023-06-10,7697.54,1
Customer_4049,INV100115,2023-09-28,2023-11-05,2023-11-15,6811.84,1
Customer_3686,INV100738,2023-09-26,2023-11-12,2023-12-02,7205.27,1
Customer_5421,INV100146,2023-01-17,2023-03-01,2023-03-07,9602.48,1
Customer_6117,INV101318,2023-07-11,2023-08-14,2023-08-15,1614.39,1
Customer_408,INV101405,2023-03-10,2023-04-08,2023-04-09,8043.9,1
Customer_3597,INV100534,2023-06-22,2023-08-03,2023-08-09,6536.14,1
Customer_1383,INV100993,2023-05-11,2023-06-26,2023-07-18,2460.45,1
Customer_4747,INV100149,2023-12-27,2024-02-16,2024-02-17,5843.75,1
Customer_3205,INV101117,2023-03-03,2023-04-07,2023-05-06,7447.32,1
Customer_8072,INV101387,2023-09-08,2023-10-28,2023-11-10,1907.94,1
Customer_906,INV101281,2023-11-26,2024-01-14,2024-01-31,2950.87,1
Customer_1254,INV100909,2023-04-11,2023-05-10,2023-06-08,9026.24,1
Customer_9419,INV101269,2023-11-15,2024-01-01,2024-01-13,7081.71,1
Customer_7770,INV100089,2023-02-26,2023-04-19,2023-04-27,8191.66,1
Customer_6321,INV101441,2023-06-16,2023-08-14,2023-09-02,9688.6,1
Customer_5266,INV100279,2023-07-08,2023-09-04,2023-09-17,1141.05,1
Customer_6410,INV100906,2023-07-26,2023-09-11,2023-10-02,8324.43,1
